,댓글
369,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
370,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
371,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
372,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
373,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
374,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
375,이러니 미국미국하지
376,문화수준을 못 맞추겠음 맞는 곳에 가서 살지... 왜저러고 있는건지🤬
377,"도대체 어떻게 교육을 받고 자랐길래 저렇게 안아무인일 수 있는지? 100%는 아니겠지만 왜 저런 사람들은 왜 또 노약자석에 주로 앉아서 행패인지, 그냥 단세포라 이동은해야겠고 술은 동시에 먹고 싶고 술 먹은 김에 담배는 피우고 싶어서 저런건가...어디서 기분나쁜일이 있었는지는 모르지만 자기 개인 감정을 공공장소에 있는 불특정 다수에게 피해를 주는 방식은 어떤 사고에서 나오는지...(알콜 캔 까지 소지하고 지하철탄건 다분히 의도성이 보인다ㅜㅜ)"
378,저런분은 현장처벌가능했으면....🙏
379,도주는 참나........ 경찰 맞이할 깡다구도 없냐?
380,저걸 인간이라 볼수 없지
